['09:20:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:20:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:20:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:20:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:20:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:20:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:20:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:20:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:20:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:20:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:20:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:20:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:20:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:20:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:20:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:20:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:20:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:20:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:20:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:20:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:20:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:20:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:20:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:21:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:21:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:21:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:21:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:21:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:21:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:21:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:21:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:21:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:21:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:21:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:21:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:21:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:21:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:21:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:21:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
